model,input,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate,confusion_matrix,model_file
phish360_tri_branch_cnn,URL + HTML + Screenshot,0.889210716871832,0.8396025550035486,0.936658749010293,0.8854790419161677,0.9649652948891236,0.15076717811874582,0.06334125098970704,"[[1273, 226], [80, 1183]]",models\saved\phish360\phish360_tri_branch_cnn.pt
phish360_dual_branch_cnn,URL + HTML,0.8664011585807386,0.8682042833607908,0.8345209817893904,0.8510294711344368,0.9307329193333957,0.1067378252168112,0.16547901821060965,"[[1339, 160], [209, 1054]]",models\saved\phish360\phish360_dual_branch_cnn.pt
phish360_screenshot_cnn,Screenshot,0.8421433743664012,0.77079240340537,0.931908155186065,0.8437275985663082,0.939352283945433,0.2334889926617745,0.06809184481393507,"[[1149, 350], [86, 1177]]",models\saved\phish360\phish360_screenshot_cnn.pt
phish360_url_cnn,URL,0.8388848660391021,0.8061377245508982,0.8527315914489311,0.828780300115429,0.9126802402446181,0.17278185456971315,0.14726840855106887,"[[1240, 259], [186, 1077]]",models\saved\phish360\phish360_url_cnn.pt
phish360_url_lstm,URL,0.7527154236060826,0.6873385012919897,0.8424386381631037,0.7570259694059054,0.7820320435317923,0.3228819212808539,0.15756136183689629,"[[1015, 484], [199, 1064]]",models\saved\phish360\phish360_url_lstm.pt
phish360_html_cnn,HTML,0.7407675597393193,0.8879432624113475,0.49564528899445764,0.6361788617886179,0.8325632237274043,0.052701801200800535,0.5043547110055424,"[[1420, 79], [637, 626]]",models\saved\phish360\phish360_html_cnn.pt
