model,input,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate,confusion_matrix,model_file
phish360_url_cnn,URL,0.837436640115858,0.8245614035087719,0.8186856690419636,0.8216130313865713,0.9165138860058196,0.1467645096731154,0.18131433095803642,"[[1279, 220], [229, 1034]]",models\saved\phish360\phish360_url_cnn.pt
phish360_url_lstm,URL,0.7541636495293266,0.6886304909560723,0.8440221694378464,0.7584489505514052,0.7758790896226938,0.32154769846564374,0.1559778305621536,"[[1017, 482], [197, 1066]]",models\saved\phish360\phish360_url_lstm.pt
phish360_html_cnn,HTML,0.835988414192614,0.900990099009901,0.7205067300079177,0.8007039155301364,0.9282596420839018,0.066711140760507,0.27949326999208235,"[[1399, 100], [353, 910]]",models\saved\phish360\phish360_html_cnn.pt
phish360_screenshot_cnn,Screenshot,0.8472121650977552,0.8410381184103812,0.8210609659540776,0.8309294871794872,0.9139864686777197,0.13075383589059372,0.1789390340459224,"[[1303, 196], [226, 1037]]",models\saved\phish360\phish360_screenshot_cnn.pt
phish360_dual_branch_cnn,URL + HTML,0.9170890658942795,0.9162640901771336,0.9010292953285828,0.9085828343313374,0.9714314689603044,0.06937958639092728,0.09897070467141726,"[[1395, 104], [125, 1138]]",models\saved\phish360\phish360_dual_branch_cnn.pt
phish360_tri_branch_cnn,URL + HTML + Screenshot,0.9246922519913107,0.8993186979560939,0.9406175771971497,0.9195046439628483,0.9776190197001221,0.08872581721147432,0.05938242280285035,"[[1366, 133], [75, 1188]]",models\saved\phish360\phish360_tri_branch_cnn.pt
