model,input,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate,confusion_matrix,model_file
dual_branch_cnn,URL + HTML,0.96774993798065,0.9461219656601539,0.9043576683644595,0.9247685185185185,0.9918512235391318,0.014455917394757744,0.09564233163554046,"[[6204, 91], [169, 1598]]",models\saved\dual_branch_cnn.pt
baseline_tfidf_logreg,URL + HTML TF-IDF,0.9461672041677003,0.8391857506361323,0.9332201471420487,0.8837084673097535,0.9847687706801915,0.05019857029388403,0.06677985285795134,"[[5979, 316], [118, 1649]]",models\saved\baseline_tfidf_logreg.joblib
html_cnn,HTML,0.9481518233688911,0.8774482372691662,0.8873797396717601,0.8823860438942037,0.9772503846667322,0.03478951548848292,0.11262026032823995,"[[6076, 219], [199, 1568]]",models\saved\html_cnn.pt
url_lstm,URL,0.946663358967998,0.8711826762909495,0.8879456706281834,0.8794843049327354,0.9814664579150096,0.036854646544876885,0.11205432937181664,"[[6063, 232], [198, 1569]]",models\saved\url_lstm.pt
url_cnn,URL,0.9449268171669561,0.8718381112984823,0.8777589134125636,0.8747884940778342,0.9815264672737726,0.036219221604447974,0.12224108658743633,"[[6067, 228], [216, 1551]]",models\saved\url_cnn.pt
baseline_random_forest,URL + HTML handcrafted features,0.8850161250310097,0.7208201892744479,0.7758913412563667,0.7473426001635323,0.931037964122944,0.08435266084193804,0.22410865874363328,"[[5764, 531], [396, 1371]]",models\saved\baseline_random_forest.joblib
