name,family,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,selected_for_runtime
url_cnn_deep_learning,deep_learning,0.978975546975547,0.9757467799397095,0.9775774493204594,0.976661256771893,0.9974082110606863,True
baseline_logistic_regression,baseline,0.839001287001287,0.8665413042910497,0.759140621424976,0.8092932495883896,0.9107453963213079,False
baseline_gaussian_naive_bayes,baseline,0.8236808236808236,0.9763449338733379,0.6232782684299638,0.7608474031868393,0.8735138589728657,False
deep_learning_url_html_mlp,deep_learning,0.9192072072072072,0.9273507329281373,0.8901981421315152,0.9083947187168023,0.9720068407423692,True
